I, [2016-10-27T17:36:31.238180 #15720]  INFO -- : Started GET "/locations/visited_locations" for 127.0.0.1 at 2016-10-27 17:36:31 -0700
F, [2016-10-27T20:57:49.987463 #16380] FATAL -- : railties (5.0.0.1) lib/rails/rack/logger.rb:24:in `block in call'
F, [2016-10-27T20:57:49.987463 #16380] FATAL -- : activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:70:in `block in tagged'
F, [2016-10-27T20:57:49.987463 #16380] FATAL -- : activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:26:in `tagged'
F, [2016-10-27T20:57:49.987463 #16380] FATAL -- : activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:70:in `tagged'
F, [2016-10-27T20:57:49.987463 #16380] FATAL -- : railties (5.0.0.1) lib/rails/rack/logger.rb:24:in `call'
F, [2016-10-27T20:57:49.987463 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/request_id.rb:24:in `call'
F, [2016-10-27T20:57:49.987463 #16380] FATAL -- : rack (2.0.1) lib/rack/method_override.rb:22:in `call'
F, [2016-10-27T20:57:49.987463 #16380] FATAL -- : rack (2.0.1) lib/rack/runtime.rb:22:in `call'
F, [2016-10-27T20:57:49.988465 #16380] FATAL -- : activesupport (5.0.0.1) lib/active_support/cache/strategy/local_cache_middleware.rb:28:in `call'
F, [2016-10-27T20:57:49.988465 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/executor.rb:12:in `call'
F, [2016-10-27T20:57:49.988465 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/static.rb:136:in `call'
F, [2016-10-27T20:57:49.988465 #16380] FATAL -- : rack (2.0.1) lib/rack/sendfile.rb:111:in `call'
F, [2016-10-27T20:57:49.988465 #16380] FATAL -- : railties (5.0.0.1) lib/rails/engine.rb:522:in `call'
F, [2016-10-27T20:57:49.988465 #16380] FATAL -- : rack (2.0.1) lib/rack/handler/webrick.rb:86:in `service'
F, [2016-10-27T20:57:49.988465 #16380] FATAL -- : C:/Ruby23-x64/lib/ruby/2.3.0/webrick/httpserver.rb:140:in `service'
F, [2016-10-27T20:57:49.988465 #16380] FATAL -- : C:/Ruby23-x64/lib/ruby/2.3.0/webrick/httpserver.rb:96:in `run'
F, [2016-10-27T20:57:49.988465 #16380] FATAL -- : C:/Ruby23-x64/lib/ruby/2.3.0/webrick/server.rb:296:in `block in start_thread'
I, [2016-10-27T20:57:53.665830 #16380]  INFO -- : Started GET "/locations" for 127.0.0.1 at 2016-10-27 20:57:53 -0700
I, [2016-10-27T20:57:53.666830 #16380]  INFO -- : Processing by LocationsController#index as HTML
I, [2016-10-27T20:57:53.669832 #16380]  INFO -- :   Rendering locations/index.html.haml within layouts/application
I, [2016-10-27T20:57:53.671833 #16380]  INFO -- :   Rendered locations/index.html.haml within layouts/application (2.0ms)
I, [2016-10-27T20:57:53.672834 #16380]  INFO -- : Completed 200 OK in 6ms (Views: 3.5ms | ActiveRecord: 0.0ms)
I, [2016-10-27T20:57:53.698853 #16380]  INFO -- : Started GET "/stylesheets/application.css" for 127.0.0.1 at 2016-10-27 20:57:53 -0700
F, [2016-10-27T20:57:53.699854 #16380] FATAL -- :   
F, [2016-10-27T20:57:53.699854 #16380] FATAL -- : ActionController::RoutingError (No route matches [GET] "/stylesheets/application.css"):
F, [2016-10-27T20:57:53.699854 #16380] FATAL -- :   
F, [2016-10-27T20:57:53.699854 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/debug_exceptions.rb:53:in `call'
F, [2016-10-27T20:57:53.699854 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/show_exceptions.rb:31:in `call'
F, [2016-10-27T20:57:53.699854 #16380] FATAL -- : railties (5.0.0.1) lib/rails/rack/logger.rb:36:in `call_app'
F, [2016-10-27T20:57:53.699854 #16380] FATAL -- : railties (5.0.0.1) lib/rails/rack/logger.rb:24:in `block in call'
F, [2016-10-27T20:57:53.699854 #16380] FATAL -- : activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:70:in `block in tagged'
F, [2016-10-27T20:57:53.700854 #16380] FATAL -- : activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:26:in `tagged'
F, [2016-10-27T20:57:53.700854 #16380] FATAL -- : activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:70:in `tagged'
F, [2016-10-27T20:57:53.700854 #16380] FATAL -- : railties (5.0.0.1) lib/rails/rack/logger.rb:24:in `call'
F, [2016-10-27T20:57:53.700854 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/request_id.rb:24:in `call'
F, [2016-10-27T20:57:53.700854 #16380] FATAL -- : rack (2.0.1) lib/rack/method_override.rb:22:in `call'
F, [2016-10-27T20:57:53.700854 #16380] FATAL -- : rack (2.0.1) lib/rack/runtime.rb:22:in `call'
F, [2016-10-27T20:57:53.700854 #16380] FATAL -- : activesupport (5.0.0.1) lib/active_support/cache/strategy/local_cache_middleware.rb:28:in `call'
F, [2016-10-27T20:57:53.700854 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/executor.rb:12:in `call'
F, [2016-10-27T20:57:53.700854 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/static.rb:136:in `call'
F, [2016-10-27T20:57:53.700854 #16380] FATAL -- : rack (2.0.1) lib/rack/sendfile.rb:111:in `call'
F, [2016-10-27T20:57:53.700854 #16380] FATAL -- : railties (5.0.0.1) lib/rails/engine.rb:522:in `call'
F, [2016-10-27T20:57:53.700854 #16380] FATAL -- : rack (2.0.1) lib/rack/handler/webrick.rb:86:in `service'
F, [2016-10-27T20:57:53.700854 #16380] FATAL -- : C:/Ruby23-x64/lib/ruby/2.3.0/webrick/httpserver.rb:140:in `service'
F, [2016-10-27T20:57:53.700854 #16380] FATAL -- : C:/Ruby23-x64/lib/ruby/2.3.0/webrick/httpserver.rb:96:in `run'
F, [2016-10-27T20:57:53.700854 #16380] FATAL -- : C:/Ruby23-x64/lib/ruby/2.3.0/webrick/server.rb:296:in `block in start_thread'
I, [2016-10-27T20:57:53.717369 #16380]  INFO -- : Started GET "/javascripts/application.js" for 127.0.0.1 at 2016-10-27 20:57:53 -0700
F, [2016-10-27T20:57:53.719370 #16380] FATAL -- :   
F, [2016-10-27T20:57:53.719870 #16380] FATAL -- : ActionController::RoutingError (No route matches [GET] "/javascripts/application.js"):
F, [2016-10-27T20:57:53.720371 #16380] FATAL -- :   
F, [2016-10-27T20:57:53.721872 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/debug_exceptions.rb:53:in `call'
F, [2016-10-27T20:57:53.721872 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/show_exceptions.rb:31:in `call'
F, [2016-10-27T20:57:53.722876 #16380] FATAL -- : railties (5.0.0.1) lib/rails/rack/logger.rb:36:in `call_app'
F, [2016-10-27T20:57:53.723877 #16380] FATAL -- : railties (5.0.0.1) lib/rails/rack/logger.rb:24:in `block in call'
F, [2016-10-27T20:57:53.724878 #16380] FATAL -- : activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:70:in `block in tagged'
F, [2016-10-27T20:57:53.725878 #16380] FATAL -- : activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:26:in `tagged'
F, [2016-10-27T20:57:53.726879 #16380] FATAL -- : activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:70:in `tagged'
F, [2016-10-27T20:57:53.728880 #16380] FATAL -- : railties (5.0.0.1) lib/rails/rack/logger.rb:24:in `call'
F, [2016-10-27T20:57:53.728880 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/request_id.rb:24:in `call'
F, [2016-10-27T20:57:53.728880 #16380] FATAL -- : rack (2.0.1) lib/rack/method_override.rb:22:in `call'
F, [2016-10-27T20:57:53.729881 #16380] FATAL -- : rack (2.0.1) lib/rack/runtime.rb:22:in `call'
F, [2016-10-27T20:57:53.729881 #16380] FATAL -- : activesupport (5.0.0.1) lib/active_support/cache/strategy/local_cache_middleware.rb:28:in `call'
F, [2016-10-27T20:57:53.729881 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/executor.rb:12:in `call'
F, [2016-10-27T20:57:53.729881 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/static.rb:136:in `call'
F, [2016-10-27T20:57:53.729881 #16380] FATAL -- : rack (2.0.1) lib/rack/sendfile.rb:111:in `call'
F, [2016-10-27T20:57:53.729881 #16380] FATAL -- : railties (5.0.0.1) lib/rails/engine.rb:522:in `call'
F, [2016-10-27T20:57:53.729881 #16380] FATAL -- : rack (2.0.1) lib/rack/handler/webrick.rb:86:in `service'
F, [2016-10-27T20:57:53.729881 #16380] FATAL -- : C:/Ruby23-x64/lib/ruby/2.3.0/webrick/httpserver.rb:140:in `service'
F, [2016-10-27T20:57:53.730882 #16380] FATAL -- : C:/Ruby23-x64/lib/ruby/2.3.0/webrick/httpserver.rb:96:in `run'
F, [2016-10-27T20:57:53.730882 #16380] FATAL -- : C:/Ruby23-x64/lib/ruby/2.3.0/webrick/server.rb:296:in `block in start_thread'
I, [2016-10-27T20:57:56.739384 #16380]  INFO -- : Started GET "/assets/maps/locations.js" for 127.0.0.1 at 2016-10-27 20:57:56 -0700
I, [2016-10-27T20:57:56.738390 #16380]  INFO -- : Started GET "/assets/maps/OpenLayers.js" for 127.0.0.1 at 2016-10-27 20:57:56 -0700
F, [2016-10-27T20:57:56.739384 #16380] FATAL -- :   
F, [2016-10-27T20:57:56.740380 #16380] FATAL -- :   
F, [2016-10-27T20:57:56.740380 #16380] FATAL -- : ActionController::RoutingError (No route matches [GET] "/assets/maps/locations.js"):
F, [2016-10-27T20:57:56.740380 #16380] FATAL -- : ActionController::RoutingError (No route matches [GET] "/assets/maps/OpenLayers.js"):
F, [2016-10-27T20:57:56.740380 #16380] FATAL -- :   
F, [2016-10-27T20:57:56.740380 #16380] FATAL -- :   
F, [2016-10-27T20:57:56.741380 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/debug_exceptions.rb:53:in `call'
F, [2016-10-27T20:57:56.741380 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/debug_exceptions.rb:53:in `call'
F, [2016-10-27T20:57:56.741380 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/show_exceptions.rb:31:in `call'
F, [2016-10-27T20:57:56.741380 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/show_exceptions.rb:31:in `call'
F, [2016-10-27T20:57:56.741380 #16380] FATAL -- : railties (5.0.0.1) lib/rails/rack/logger.rb:36:in `call_app'
F, [2016-10-27T20:57:56.741380 #16380] FATAL -- : railties (5.0.0.1) lib/rails/rack/logger.rb:36:in `call_app'
F, [2016-10-27T20:57:56.741380 #16380] FATAL -- : railties (5.0.0.1) lib/rails/rack/logger.rb:24:in `block in call'
F, [2016-10-27T20:57:56.741380 #16380] FATAL -- : railties (5.0.0.1) lib/rails/rack/logger.rb:24:in `block in call'
F, [2016-10-27T20:57:56.741380 #16380] FATAL -- : activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:70:in `block in tagged'
F, [2016-10-27T20:57:56.741380 #16380] FATAL -- : activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:70:in `block in tagged'
F, [2016-10-27T20:57:56.741380 #16380] FATAL -- : activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:26:in `tagged'
F, [2016-10-27T20:57:56.741380 #16380] FATAL -- : activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:26:in `tagged'
F, [2016-10-27T20:57:56.741380 #16380] FATAL -- : activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:70:in `tagged'
F, [2016-10-27T20:57:56.741380 #16380] FATAL -- : activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:70:in `tagged'
F, [2016-10-27T20:57:56.741380 #16380] FATAL -- : railties (5.0.0.1) lib/rails/rack/logger.rb:24:in `call'
F, [2016-10-27T20:57:56.741380 #16380] FATAL -- : railties (5.0.0.1) lib/rails/rack/logger.rb:24:in `call'
F, [2016-10-27T20:57:56.741380 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/request_id.rb:24:in `call'
F, [2016-10-27T20:57:56.742380 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/request_id.rb:24:in `call'
F, [2016-10-27T20:57:56.742380 #16380] FATAL -- : rack (2.0.1) lib/rack/method_override.rb:22:in `call'
F, [2016-10-27T20:57:56.742380 #16380] FATAL -- : rack (2.0.1) lib/rack/method_override.rb:22:in `call'
F, [2016-10-27T20:57:56.742380 #16380] FATAL -- : rack (2.0.1) lib/rack/runtime.rb:22:in `call'
F, [2016-10-27T20:57:56.742380 #16380] FATAL -- : rack (2.0.1) lib/rack/runtime.rb:22:in `call'
F, [2016-10-27T20:57:56.742380 #16380] FATAL -- : activesupport (5.0.0.1) lib/active_support/cache/strategy/local_cache_middleware.rb:28:in `call'
F, [2016-10-27T20:57:56.742380 #16380] FATAL -- : activesupport (5.0.0.1) lib/active_support/cache/strategy/local_cache_middleware.rb:28:in `call'
F, [2016-10-27T20:57:56.742380 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/executor.rb:12:in `call'
F, [2016-10-27T20:57:56.742380 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/executor.rb:12:in `call'
F, [2016-10-27T20:57:56.742380 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/static.rb:136:in `call'
F, [2016-10-27T20:57:56.742380 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/static.rb:136:in `call'
F, [2016-10-27T20:57:56.742380 #16380] FATAL -- : rack (2.0.1) lib/rack/sendfile.rb:111:in `call'
F, [2016-10-27T20:57:56.742380 #16380] FATAL -- : rack (2.0.1) lib/rack/sendfile.rb:111:in `call'
F, [2016-10-27T20:57:56.742380 #16380] FATAL -- : railties (5.0.0.1) lib/rails/engine.rb:522:in `call'
F, [2016-10-27T20:57:56.742380 #16380] FATAL -- : railties (5.0.0.1) lib/rails/engine.rb:522:in `call'
F, [2016-10-27T20:57:56.742380 #16380] FATAL -- : rack (2.0.1) lib/rack/handler/webrick.rb:86:in `service'
F, [2016-10-27T20:57:56.742380 #16380] FATAL -- : rack (2.0.1) lib/rack/handler/webrick.rb:86:in `service'
F, [2016-10-27T20:57:56.742380 #16380] FATAL -- : C:/Ruby23-x64/lib/ruby/2.3.0/webrick/httpserver.rb:140:in `service'
F, [2016-10-27T20:57:56.742380 #16380] FATAL -- : C:/Ruby23-x64/lib/ruby/2.3.0/webrick/httpserver.rb:140:in `service'
F, [2016-10-27T20:57:56.743390 #16380] FATAL -- : C:/Ruby23-x64/lib/ruby/2.3.0/webrick/httpserver.rb:96:in `run'
F, [2016-10-27T20:57:56.743390 #16380] FATAL -- : C:/Ruby23-x64/lib/ruby/2.3.0/webrick/httpserver.rb:96:in `run'
F, [2016-10-27T20:57:56.743390 #16380] FATAL -- : C:/Ruby23-x64/lib/ruby/2.3.0/webrick/server.rb:296:in `block in start_thread'
F, [2016-10-27T20:57:56.743390 #16380] FATAL -- : C:/Ruby23-x64/lib/ruby/2.3.0/webrick/server.rb:296:in `block in start_thread'
I, [2016-10-27T20:58:03.328285 #16380]  INFO -- : Started GET "/locations/new" for 127.0.0.1 at 2016-10-27 20:58:03 -0700
I, [2016-10-27T20:58:03.329285 #16380]  INFO -- : Processing by LocationsController#new as HTML
I, [2016-10-27T20:58:03.358889 #16380]  INFO -- :   Rendering locations/new.html.haml within layouts/application
I, [2016-10-27T20:58:03.363914 #16380]  INFO -- :   Rendered locations/new.html.haml within layouts/application (5.0ms)
I, [2016-10-27T20:58:03.364905 #16380]  INFO -- : Completed 200 OK in 36ms (Views: 6.1ms | ActiveRecord: 0.0ms)
I, [2016-10-27T20:58:03.389912 #16380]  INFO -- : Started GET "/stylesheets/application.css" for 127.0.0.1 at 2016-10-27 20:58:03 -0700
F, [2016-10-27T20:58:03.390912 #16380] FATAL -- :   
F, [2016-10-27T20:58:03.390912 #16380] FATAL -- : ActionController::RoutingError (No route matches [GET] "/stylesheets/application.css"):
F, [2016-10-27T20:58:03.392927 #16380] FATAL -- :   
F, [2016-10-27T20:58:03.393916 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/debug_exceptions.rb:53:in `call'
I, [2016-10-27T20:58:03.393916 #16380]  INFO -- : Started GET "/javascripts/application.js" for 127.0.0.1 at 2016-10-27 20:58:03 -0700
F, [2016-10-27T20:58:03.393916 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/show_exceptions.rb:31:in `call'
F, [2016-10-27T20:58:03.394926 #16380] FATAL -- :   
F, [2016-10-27T20:58:03.394926 #16380] FATAL -- : railties (5.0.0.1) lib/rails/rack/logger.rb:36:in `call_app'
F, [2016-10-27T20:58:03.394926 #16380] FATAL -- : ActionController::RoutingError (No route matches [GET] "/javascripts/application.js"):
F, [2016-10-27T20:58:03.394926 #16380] FATAL -- : railties (5.0.0.1) lib/rails/rack/logger.rb:24:in `block in call'
F, [2016-10-27T20:58:03.394926 #16380] FATAL -- :   
F, [2016-10-27T20:58:03.394926 #16380] FATAL -- : activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:70:in `block in tagged'
F, [2016-10-27T20:58:03.395916 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/debug_exceptions.rb:53:in `call'
F, [2016-10-27T20:58:03.395916 #16380] FATAL -- : activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:26:in `tagged'
F, [2016-10-27T20:58:03.395916 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/show_exceptions.rb:31:in `call'
F, [2016-10-27T20:58:03.395916 #16380] FATAL -- : activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:70:in `tagged'
F, [2016-10-27T20:58:03.395916 #16380] FATAL -- : railties (5.0.0.1) lib/rails/rack/logger.rb:36:in `call_app'
F, [2016-10-27T20:58:03.395916 #16380] FATAL -- : railties (5.0.0.1) lib/rails/rack/logger.rb:24:in `call'
F, [2016-10-27T20:58:03.395916 #16380] FATAL -- : railties (5.0.0.1) lib/rails/rack/logger.rb:24:in `block in call'
F, [2016-10-27T20:58:03.395916 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/request_id.rb:24:in `call'
F, [2016-10-27T20:58:03.395916 #16380] FATAL -- : activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:70:in `block in tagged'
F, [2016-10-27T20:58:03.395916 #16380] FATAL -- : rack (2.0.1) lib/rack/method_override.rb:22:in `call'
F, [2016-10-27T20:58:03.395916 #16380] FATAL -- : activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:26:in `tagged'
F, [2016-10-27T20:58:03.395916 #16380] FATAL -- : rack (2.0.1) lib/rack/runtime.rb:22:in `call'
F, [2016-10-27T20:58:03.395916 #16380] FATAL -- : activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:70:in `tagged'
F, [2016-10-27T20:58:03.395916 #16380] FATAL -- : activesupport (5.0.0.1) lib/active_support/cache/strategy/local_cache_middleware.rb:28:in `call'
F, [2016-10-27T20:58:03.395916 #16380] FATAL -- : railties (5.0.0.1) lib/rails/rack/logger.rb:24:in `call'
F, [2016-10-27T20:58:03.395916 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/executor.rb:12:in `call'
F, [2016-10-27T20:58:03.395916 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/request_id.rb:24:in `call'
F, [2016-10-27T20:58:03.395916 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/static.rb:136:in `call'
F, [2016-10-27T20:58:03.396916 #16380] FATAL -- : rack (2.0.1) lib/rack/method_override.rb:22:in `call'
F, [2016-10-27T20:58:03.396916 #16380] FATAL -- : rack (2.0.1) lib/rack/sendfile.rb:111:in `call'
F, [2016-10-27T20:58:03.396916 #16380] FATAL -- : rack (2.0.1) lib/rack/runtime.rb:22:in `call'
F, [2016-10-27T20:58:03.396916 #16380] FATAL -- : railties (5.0.0.1) lib/rails/engine.rb:522:in `call'
F, [2016-10-27T20:58:03.396916 #16380] FATAL -- : activesupport (5.0.0.1) lib/active_support/cache/strategy/local_cache_middleware.rb:28:in `call'
F, [2016-10-27T20:58:03.396916 #16380] FATAL -- : rack (2.0.1) lib/rack/handler/webrick.rb:86:in `service'
F, [2016-10-27T20:58:03.396916 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/executor.rb:12:in `call'
F, [2016-10-27T20:58:03.396916 #16380] FATAL -- : C:/Ruby23-x64/lib/ruby/2.3.0/webrick/httpserver.rb:140:in `service'
F, [2016-10-27T20:58:03.396916 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/static.rb:136:in `call'
F, [2016-10-27T20:58:03.396916 #16380] FATAL -- : C:/Ruby23-x64/lib/ruby/2.3.0/webrick/httpserver.rb:96:in `run'
F, [2016-10-27T20:58:03.396916 #16380] FATAL -- : rack (2.0.1) lib/rack/sendfile.rb:111:in `call'
F, [2016-10-27T20:58:03.396916 #16380] FATAL -- : C:/Ruby23-x64/lib/ruby/2.3.0/webrick/server.rb:296:in `block in start_thread'
F, [2016-10-27T20:58:03.396916 #16380] FATAL -- : railties (5.0.0.1) lib/rails/engine.rb:522:in `call'
F, [2016-10-27T20:58:03.397917 #16380] FATAL -- : rack (2.0.1) lib/rack/handler/webrick.rb:86:in `service'
F, [2016-10-27T20:58:03.397917 #16380] FATAL -- : C:/Ruby23-x64/lib/ruby/2.3.0/webrick/httpserver.rb:140:in `service'
F, [2016-10-27T20:58:03.398918 #16380] FATAL -- : C:/Ruby23-x64/lib/ruby/2.3.0/webrick/httpserver.rb:96:in `run'
F, [2016-10-27T20:58:03.398918 #16380] FATAL -- : C:/Ruby23-x64/lib/ruby/2.3.0/webrick/server.rb:296:in `block in start_thread'
I, [2016-10-27T20:58:04.469892 #16380]  INFO -- : Started GET "/locations" for 127.0.0.1 at 2016-10-27 20:58:04 -0700
I, [2016-10-27T20:58:04.471895 #16380]  INFO -- : Processing by LocationsController#index as HTML
I, [2016-10-27T20:58:04.472894 #16380]  INFO -- :   Rendering locations/index.html.haml within layouts/application
I, [2016-10-27T20:58:04.473895 #16380]  INFO -- :   Rendered locations/index.html.haml within layouts/application (1.0ms)
I, [2016-10-27T20:58:04.474895 #16380]  INFO -- : Completed 200 OK in 3ms (Views: 2.2ms | ActiveRecord: 0.0ms)
I, [2016-10-27T20:58:04.501913 #16380]  INFO -- : Started GET "/javascripts/application.js" for 127.0.0.1 at 2016-10-27 20:58:04 -0700
I, [2016-10-27T20:58:04.501913 #16380]  INFO -- : Started GET "/stylesheets/application.css" for 127.0.0.1 at 2016-10-27 20:58:04 -0700
F, [2016-10-27T20:58:04.502914 #16380] FATAL -- :   
F, [2016-10-27T20:58:04.503929 #16380] FATAL -- :   
F, [2016-10-27T20:58:04.504916 #16380] FATAL -- : ActionController::RoutingError (No route matches [GET] "/javascripts/application.js"):
F, [2016-10-27T20:58:04.506929 #16380] FATAL -- : ActionController::RoutingError (No route matches [GET] "/stylesheets/application.css"):
F, [2016-10-27T20:58:04.509930 #16380] FATAL -- :   
F, [2016-10-27T20:58:04.509930 #16380] FATAL -- :   
F, [2016-10-27T20:58:04.509930 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/debug_exceptions.rb:53:in `call'
F, [2016-10-27T20:58:04.509930 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/debug_exceptions.rb:53:in `call'
F, [2016-10-27T20:58:04.509930 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/show_exceptions.rb:31:in `call'
F, [2016-10-27T20:58:04.509930 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/show_exceptions.rb:31:in `call'
F, [2016-10-27T20:58:04.509930 #16380] FATAL -- : railties (5.0.0.1) lib/rails/rack/logger.rb:36:in `call_app'
F, [2016-10-27T20:58:04.510920 #16380] FATAL -- : railties (5.0.0.1) lib/rails/rack/logger.rb:36:in `call_app'
F, [2016-10-27T20:58:04.510920 #16380] FATAL -- : railties (5.0.0.1) lib/rails/rack/logger.rb:24:in `block in call'
F, [2016-10-27T20:58:04.510920 #16380] FATAL -- : railties (5.0.0.1) lib/rails/rack/logger.rb:24:in `block in call'
F, [2016-10-27T20:58:04.510920 #16380] FATAL -- : activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:70:in `block in tagged'
F, [2016-10-27T20:58:04.510920 #16380] FATAL -- : activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:70:in `block in tagged'
F, [2016-10-27T20:58:04.510920 #16380] FATAL -- : activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:26:in `tagged'
F, [2016-10-27T20:58:04.510920 #16380] FATAL -- : activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:26:in `tagged'
F, [2016-10-27T20:58:04.510920 #16380] FATAL -- : activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:70:in `tagged'
F, [2016-10-27T20:58:04.510920 #16380] FATAL -- : activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:70:in `tagged'
F, [2016-10-27T20:58:04.510920 #16380] FATAL -- : railties (5.0.0.1) lib/rails/rack/logger.rb:24:in `call'
F, [2016-10-27T20:58:04.510920 #16380] FATAL -- : railties (5.0.0.1) lib/rails/rack/logger.rb:24:in `call'
F, [2016-10-27T20:58:04.510920 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/request_id.rb:24:in `call'
F, [2016-10-27T20:58:04.510920 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/request_id.rb:24:in `call'
F, [2016-10-27T20:58:04.511921 #16380] FATAL -- : rack (2.0.1) lib/rack/method_override.rb:22:in `call'
F, [2016-10-27T20:58:04.511921 #16380] FATAL -- : rack (2.0.1) lib/rack/method_override.rb:22:in `call'
F, [2016-10-27T20:58:04.511921 #16380] FATAL -- : rack (2.0.1) lib/rack/runtime.rb:22:in `call'
F, [2016-10-27T20:58:04.511921 #16380] FATAL -- : rack (2.0.1) lib/rack/runtime.rb:22:in `call'
F, [2016-10-27T20:58:04.511921 #16380] FATAL -- : activesupport (5.0.0.1) lib/active_support/cache/strategy/local_cache_middleware.rb:28:in `call'
F, [2016-10-27T20:58:04.511921 #16380] FATAL -- : activesupport (5.0.0.1) lib/active_support/cache/strategy/local_cache_middleware.rb:28:in `call'
F, [2016-10-27T20:58:04.511921 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/executor.rb:12:in `call'
F, [2016-10-27T20:58:04.511921 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/executor.rb:12:in `call'
F, [2016-10-27T20:58:04.511921 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/static.rb:136:in `call'
F, [2016-10-27T20:58:04.511921 #16380] FATAL -- : actionpack (5.0.0.1) lib/action_dispatch/middleware/static.rb:136:in `call'
F, [2016-10-27T20:58:04.511921 #16380] FATAL -- : rack (2.0.1) lib/rack/sendfile.rb:111:in `call'
F, [2016-10-27T20:58:04.511921 #16380] FATAL -- : rack (2.0.1) lib/rack/sendfile.rb:111:in `call'
F, [2016-10-27T20:58:04.511921 #16380] FATAL -- : railties (5.0.0.1) lib/rails/engine.rb:522:in `call'
